,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
448,1921,PolynomialRegressionTrainer_43,scikit,PolynomialRegressionTrainer_43.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.52,9.4,2.52,9.4,PolynomialRegressionTrainer,43,BPFOnly
449,1922,SGDRegressorTrainer_123,scikit,SGDRegressorTrainer_123.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.52,9.54,2.52,9.54,SGDRegressorTrainer,123,BPFOnly
450,3003,LogisticRegressionTrainer_170,curvefit,LogisticRegressionTrainer_170.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.52,3.62,2.52,3.62,LogisticRegressionTrainer,170,BPFOnly
451,3054,LinearRegressionTrainer_126,scikit,LinearRegressionTrainer_126.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.52,10.32,2.52,10.32,LinearRegressionTrainer,126,BPFOnly
452,185,LinearRegressionTrainer_26,scikit,LinearRegressionTrainer_26.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.53,2.06,2.53,2.06,LinearRegressionTrainer,26,BPFOnly
453,873,ExponentialRegressionTrainer_290,curvefit,ExponentialRegressionTrainer_290.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.55,15.16,2.55,15.16,ExponentialRegressionTrainer,290,BPFOnly
454,1233,LinearRegressionTrainer_205,scikit,LinearRegressionTrainer_205.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.56,3.72,2.56,3.72,LinearRegressionTrainer,205,BPFOnly
455,2280,ExponentialRegressionTrainer_62,curvefit,ExponentialRegressionTrainer_62.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.56,0.7,2.56,0.7,ExponentialRegressionTrainer,62,BPFOnly
456,2393,LinearRegressionTrainer_0,scikit,LinearRegressionTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.56,15.29,2.56,15.29,LinearRegressionTrainer,0,BPFOnly
457,2831,SGDRegressorTrainer_187,scikit,SGDRegressorTrainer_187.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.56,4.53,2.56,4.53,SGDRegressorTrainer,187,BPFOnly
