,timestamp,packge_ratio_package,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
124,1695116035,1.0,1572422.0,31837702236.666668,35763339675.666664,175.33500000461936,0.0,0.0,32.4100000038743,1.0,all containers
125,1695116038,1.0,1596961.9999999998,32391631594.0,35628746291.99999,177.63100000098348,0.0,0.0,33.537999998778105,1.0,all containers
126,1695116041,1.0,1740493.0,31233038569.0,36108080570.33333,173.519000004977,0.0,0.0,31.739000003784895,1.0,all containers
127,1695116044,1.0,1606487.6666666665,32222264286.333336,35229412332.333336,179.5600000023842,0.0,0.0,34.907999999821186,1.0,all containers
128,1695116047,1.0,1858779.6666666665,31463309695.666664,36521876052.0,172.64700000360608,0.0,0.0,31.285000003874302,1.0,all containers
129,1695116050,1.0,1454206.6666666665,31608828992.0,35254720675.333336,179.96200000494719,0.0,0.0,34.83399999886751,1.0,all containers
130,1695116053,1.0,1641820.0,32572890563.333336,36332134514.666664,172.33900000154972,0.0,0.0,30.362999998033047,1.0,all containers
131,1695116056,1.0,1206474.0,20306650057.333332,20091535385.666668,122.93600000441074,0.0,0.0,24.217000003904104,1.0,all containers
132,1695116059,1.0,512492.3333333333,615072763.3333334,320318342.3333334,5.314000003039837,0.0,0.0,6.074999999254942,1.0,all containers
133,1695116062,1.0,262576.3333333333,504759300.3333334,286124837.0,3.732999999076128,0.0,0.0,4.343000002205372,1.0,all containers
134,1695116065,1.0,306923.3333333334,476658894.6666667,341278588.6666667,0.6530000045895576,0.0,0.0,0.0,1.0,all containers
135,1695116068,1.0,292642.6666666667,403359144.6666667,288968966.6666666,3.61600000038743,0.0,0.0,3.0250000059604645,1.0,all containers
136,1695116071,1.0,948976.0,3514477753.0,1877716658.3333335,42.458000004291534,0.0,0.0,19.538999997079372,1.0,all containers
137,1695116074,1.0,344839.3333333334,25246221703.0,13414632367.333332,135.73800000548363,0.0,0.0,32.734000004827976,1.0,all containers
138,1695116077,1.0,457378.0,24638177180.666664,13639833188.666668,135.47200000286102,0.0,0.0,32.38399999961257,1.0,all containers
139,1695116080,1.0,403395.6666666667,24928464263.333332,14769621179.0,132.52000000327826,0.0,0.0,31.43700000271201,1.0,all containers
140,1695116083,1.0,550730.0,24918268148.666668,13920782133.0,134.84899999946356,0.0,0.0,31.402000002563,1.0,all containers
141,1695116086,1.0,491289.6666666667,24245216698.0,13364775357.333332,137.56700000539422,0.0,0.0,33.67999999970198,1.0,all containers
142,1695116089,1.0,406690.6666666666,24820625541.333336,14902830355.333332,131.66700000315905,0.0,0.0,30.49500000104308,1.0,all containers
143,1695116092,1.0,497481.0,25145171990.333332,13919893812.333334,135.67300000414252,0.0,0.0,32.31399999931455,1.0,all containers
144,1695116095,1.0,362798.6666666667,25452433435.666664,13112424887.666668,132.78600000217557,0.0,0.0,31.48300000280142,1.0,all containers
145,1695116098,1.0,497786.0,24695623298.0,14774196774.0,136.89300000295043,0.0,0.0,33.14299999922514,1.0,all containers
146,1695116101,1.0,447457.6666666667,20654321509.0,11032956212.0,105.08500000089407,0.0,0.0,23.22800000011921,1.0,all containers
147,1695116104,1.0,473502.0,598261921.5333333,322111006.0,6.343000002205372,0.0,0.0,7.998000003397465,1.0,all containers
148,1695116107,1.0,472435.0,533806386.6666667,359282068.0,2.531000003218651,0.0,0.0,1.030000001192093,1.0,all containers
149,1695116110,1.0,247363.3333333333,342517377.0,249450091.66666666,1.7340000048279762,0.0,0.0,3.725290298461914e-09,1.0,all containers
150,1695116113,1.0,186339.0,329468396.6666667,226363102.3333333,1.1200000047683716,0.0,0.0,0.0,1.0,all containers
151,1695116116,1.0,833169.0,3028934872.0,1539848169.0,46.70700000226498,0.0,0.0,18.793000001460314,1.0,all containers
152,1695116119,1.0,443176.3333333334,31457175985.333336,20763759638.0,173.62099999934435,0.0,0.0,30.469999998807907,1.0,all containers
153,1695116122,1.0,492489.6666666666,31764965632.333336,20557617955.666668,177.4890000037849,0.0,0.0,31.899000003933907,1.0,all containers
154,1695116125,1.0,433113.3333333334,31343235642.333336,21020336708.666668,178.22700000554323,0.0,0.0,32.02600000053644,1.0,all containers
155,1695116128,1.0,577008.0,31922131508.0,21043280738.0,181.117000002414,0.0,0.0,33.891000002622604,1.0,all containers
156,1695116131,1.0,429868.3333333334,31508487782.333336,20627329639.333332,175.8800000026822,0.0,0.0,30.58900000154972,1.0,all containers
157,1695116134,1.0,490421.3333333334,30722227668.333336,20664246718.666664,179.64200000464916,0.0,0.0,32.85300000011921,1.0,all containers
158,1695116137,1.0,506499.6666666666,31570563134.666664,20801969290.0,178.80300000309944,0.0,0.0,32.00300000235438,1.0,all containers
159,1695116140,1.0,446528.6666666666,31796748684.333332,20811534746.666668,178.67200000584126,0.0,0.0,32.13699999824166,1.0,all containers
160,1695116143,1.0,554557.6666666666,31746172717.0,20951171301.0,179.7170000001788,0.0,0.0,31.49100000411272,1.0,all containers
161,1695116146,1.0,865922.3333333334,27133967042.0,18326912459.666668,155.76700000464916,0.0,0.0,30.278999999165535,1.0,all containers
162,1695116149,1.0,496025.0,439989453.3333333,267368306.6666667,2.440999999642372,0.0,0.0,3.725290298461914e-09,1.0,all containers
163,1695116152,1.0,325875.6666666666,366561731.6666667,233483500.0,3.664000004529953,0.0,0.0,3.980000000447035,1.0,all containers
164,1695116155,1.0,237484.0,303273387.0,170288062.0,0.9910000041127205,0.0,0.0,0.0,1.0,all containers
165,1695116158,1.0,275702.3333333333,389073449.0,202393951.0,3.8300000056624413,0.0,0.0,4.461000002920628,1.0,all containers
166,1695116161,1.0,931438.3333333334,3154862508.333333,1502521076.6666665,45.69999999925494,0.0,0.0,10.006000000983477,1.0,all containers
167,1695116164,1.0,782993.0,42672816558.33333,32826824273.0,261.7930000014603,0.0,0.0,32.29400000348687,1.0,all containers
168,1695116167,1.0,812150.3333333333,42539503349.333336,33699050006.0,260.6080000065267,0.0,0.0,31.85199999809265,1.0,all containers
169,1695116170,1.0,827438.3333333333,42417820679.0,32452572721.0,262.214999999851,0.0,0.0,32.679000005126,1.0,all containers
170,1695116173,1.0,852050.3333333333,42583510135.33333,31984890161.000004,259.222000002861,0.0,0.0,30.73200000077486,1.0,all containers
171,1695116176,1.0,789239.3333333334,42370192507.0,33180136877.666668,264.0020000040531,0.0,0.0,32.880999997258186,1.0,all containers
172,1695116179,1.0,1051242.0,42506343495.66667,33304877905.666664,262.13900000602007,0.0,0.0,31.944000005722046,1.0,all containers
173,1695116182,1.0,794961.6666666665,42506202598.0,31801115102.0,262.5509999990463,0.0,0.0,31.407999999821186,1.0,all containers
174,1695116185,1.0,725124.6666666667,42354500531.666664,32347232425.666668,264.1080000028014,0.0,0.0,32.25600000470877,1.0,all containers
175,1695116188,1.0,978721.3333333333,42829326712.0,34293234546.0,266.29700000584126,0.0,0.0,33.88799999654293,1.0,all containers
176,1695116191,1.0,866976.6666666666,40248548185.66667,29749259457.0,238.97500000149012,0.0,0.0,29.73600000143051,1.0,all containers
177,1695116194,1.0,482668.0,531309131.3333334,377265118.6666667,7.5190000012516975,0.0,0.0,10.03999999910593,1.0,all containers
178,1695116197,1.0,775662.3333333334,461682036.0,440247285.3333333,3.7360000051558018,0.0,0.0,0.6410000026226044,1.0,all containers
179,1695116200,1.0,405911.3333333334,360619997.0,311865039.3333334,3.2940000034868717,0.0,0.0,3.725290298461914e-09,1.0,all containers
180,1695116203,1.0,526820.6666666667,448221738.6666667,389879997.6666667,1.9310000017285347,0.0,0.0,0.0,1.0,all containers
181,1695116206,1.0,930493.6666666667,825181161.0,586902245.6666666,24.102000005543232,0.0,0.0,15.230000000447035,1.0,all containers
