timestamp,bpf_cpu_time_us,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695120433,4247.666666666667,99.75599999974172,0.0,0.0,56.251666666318975,1,1.0
1695120436,4290.333333333334,102.8859999999404,0.0,0.0,57.54300000021855,1,1.0
1695120439,4289.0,100.85833333432674,0.0,0.0,56.41466666633884,1,1.0
1695120442,4300.0,103.10333333412807,0.0,0.0,57.711666667213045,1,1.0
1695120445,4291.666666666667,100.63466666638851,0.0,0.0,56.43399999911586,1,1.0
1695120448,4302.333333333334,102.76600000013907,0.0,0.0,57.52833333363136,1,1.0
1695120451,4250.333333333334,101.77933333317439,0.0,0.0,56.980333333214126,1,1.0
1695120454,4261.0,102.45466666668653,0.0,0.0,57.34266666819652,1,1.0
1695120457,4304.0,101.96700000017881,0.0,0.0,56.610666666179895,1,1.0
1695120460,3120.333333333333,79.8669999986887,0.0,0.0,52.007666666060686,1,1.0
1695120463,544.3333333333334,33.05266666660706,0.0,0.0,39.917333333442606,1,1.0
1695120466,473.33333333333337,31.949666666487857,0.0,0.0,38.03900000080466,1,1.0
1695120469,518.6666666666666,31.74666666736205,0.0,0.0,38.0389999995629,1,1.0
1695120472,515.6666666666666,31.580000000695392,0.0,0.0,38.0389999995629,1,1.0
1695120475,558.6666666666667,64.40899999936421,0.0,0.0,48.852000000576176,1,1.0
1695120478,8036.333333333333,120.81366666654746,0.0,0.0,58.354666666438185,1,1.0
1695120481,8029.666666666666,120.2853333329161,0.0,0.0,57.997999999672174,1,1.0
1695120484,7978.666666666666,120.96533333385985,0.0,0.0,58.30533333371083,1,1.0
1695120487,8039.666666666667,120.79899999996026,0.0,0.0,58.24066666637858,1,1.0
1695120490,7990.333333333333,121.07499999925494,0.0,0.0,58.28699999923507,1,1.0
1695120493,8038.0,121.6176666667064,0.0,0.0,58.21533333385984,1,1.0
1695120496,8008.333333333333,120.57966666668653,0.0,0.0,57.9040000004073,1,1.0
1695120499,8045.333333333334,121.4963333333532,0.0,0.0,58.233333334326744,1,1.0
1695120502,8019.0,122.77300000066559,0.0,0.0,58.686333333452545,1,1.0
1695120505,6057.0,95.25099999954303,0.0,0.0,50.93633333221078,1,1.0
1695120508,676.6666666666666,33.924000001202025,0.0,0.0,38.445666667073965,1,1.0
1695120511,540.0,31.11166666696469,0.0,0.0,38.0389999995629,1,1.0
1695120514,484.3333333333333,32.885666665931545,0.0,0.0,40.63833333303531,1,1.0
1695120517,521.0,32.55566666647792,0.0,0.0,39.347666665911674,1,1.0
1695120520,552.6666666666666,84.91966666653752,0.0,0.0,52.99866666768989,1,1.0
1695120523,14562.666666666666,179.20600000023842,0.0,0.0,67.95699999978144,1,1.0
1695120526,14558.333333333334,180.4033333336314,0.0,0.0,68.20566666747133,1,1.0
1695120529,14397.0,182.27966666594148,0.0,0.0,69.03599999969204,1,1.0
1695120532,14413.666666666666,184.07266666616,0.0,0.0,69.51666666691501,1,1.0
1695120535,14407.666666666666,178.498333333681,0.0,0.0,67.38999999935429,1,1.0
1695120538,14430.333333333332,183.6613333337009,0.0,0.0,69.43499999990065,1,1.0
1695120541,14425.0,181.7353333334128,0.0,0.0,68.37666666631897,1,1.0
1695120544,14443.333333333332,183.6473333326479,0.0,0.0,69.13300000006954,1,1.0
1695120547,14438.666666666666,179.56133333345255,0.0,0.0,67.59500000004967,1,1.0
1695120550,11136.333333333332,142.81466666733226,0.0,0.0,61.06400000055631,1,1.0
1695120553,469.3333333333333,34.63766666625937,0.0,0.0,41.65933333337307,1,1.0
1695120556,464.0,31.68133333325386,0.0,0.0,38.0389999995629,1,1.0
1695120559,549.6666666666666,32.383333334078394,0.0,0.0,38.432999999572836,1,1.0
1695120562,500.0,32.31166666621963,0.0,0.0,38.605333334455885,1,1.0
1695120565,539.0,75.80899999911587,0.0,0.0,51.83133333300551,1,1.0
1695120568,22695.999999999996,179.17833333462477,0.0,0.0,69.84366666649778,1,1.0
1695120571,22772.333333333332,179.6309999997417,0.0,0.0,69.7136666662991,1,1.0
1695120574,22797.333333333332,182.74300000071526,0.0,0.0,70.97266666715343,1,1.0
1695120577,22777.000000000004,178.34933333223066,0.0,0.0,69.20333333313465,1,1.0
1695120580,22669.0,182.47000000004968,0.0,0.0,70.4176666662097,1,1.0
1695120583,22760.666666666664,181.04233333220085,0.0,0.0,70.05866666759054,1,1.0
1695120586,22761.333333333336,181.73700000097355,0.0,0.0,70.34266666695476,1,1.0
1695120589,22746.666666666664,180.04399999976158,0.0,0.0,69.17966666569312,1,1.0
1695120592,22733.666666666668,183.5203333335618,0.0,0.0,70.6286666666468,1,1.0
1695120595,20332.0,161.74600000058612,0.0,0.0,64.50966666638851,1,1.0
1695120598,509.0,33.88866666704416,0.0,0.0,38.97533333301544,1,1.0
1695120601,547.0,32.460333332419395,0.0,0.0,38.03900000080466,1,1.0
1695120604,510.66666666666663,32.116999999930464,0.0,0.0,38.03900000080466,1,1.0
1695120607,523.3333333333334,32.00599999974171,0.0,0.0,38.0389999995629,1,1.0
