timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695115897,843118.3333333334,32062710369.333336,22319066092.666668,232.0,1
1695115900,1018755.6666666667,30858363199.666668,24732041832.0,231.0,1
1695115903,967709.0,30735200178.666664,22874673915.333332,234.0,1
1695115906,798500.3333333333,32160996153.0,24082877890.0,233.0,1
1695115909,971226.3333333333,29726393484.333336,23389012701.666664,233.0,1
1695115912,775229.3333333334,32159418512.666668,23970456952.666668,232.0,1
1695115915,834146.0,30851967305.333336,22833988008.666668,232.0,1
1695115918,901680.0,30258549434.666664,24387948552.0,232.0,1
1695115921,830232.0,10814917354.333332,6188846804.0,174.0,1
1695115924,405720.6666666666,391794249.6666666,293587751.6666667,171.0,1
1695115927,375910.3333333334,235108893.6666667,260739638.3333333,171.0,1
1695115930,429961.6666666666,268391539.0,332287585.0,171.0,1
1695115933,560710.6666666666,329464673.3333334,378467699.6666666,171.0,1
1695115936,1589537.6666666665,23181641207.666668,22105008226.0,236.0,1
1695115939,1884599.0,31703324498.666668,30293935192.666664,238.0,1
1695115942,1603451.3333333335,32839748325.0,31043342295.333332,240.0,1
1695115945,1290953.6666666665,30747088045.333336,29616839138.666668,237.0,1
1695115948,1346767.0,32848199957.666668,31125596086.0,238.0,1
1695115951,1529563.3333333335,31675233964.999996,30003639492.0,240.0,1
1695115954,1372373.0,31414882785.333332,30574718495.333336,238.0,1
1695115957,1262821.0,32880225158.333332,30746452620.666668,237.0,1
1695115960,1329884.6666666667,30907406633.666664,29742163266.000004,239.0,1
1695115963,1444629.6666666665,32633037484.000004,31716866069.666668,237.0,1
1695115966,941269.0,13272842282.5,11475770015.666668,171.0,1
1695115969,499303.0,465027520.0,342969721.3333334,171.0,1
1695115972,359127.0,385117913.6666667,148410301.66666666,171.0,1
1695115975,272757.6666666667,366850139.3333334,166138478.0,171.0,1
1695115978,403630.3333333334,447286451.3333334,267009924.3333333,171.0,1
1695115981,1033657.6666666666,2337596151.0,950651632.0,239.0,1
1695115984,1627636.0,32525230183.0,35189563748.666664,239.0,1
1695115987,1689222.6666666667,31418320728.666668,36101616255.0,240.0,1
1695115990,1635746.0,31769232966.666664,35805741370.33333,241.0,1
1695115993,1827849.3333333333,32433732593.000004,35396826418.00001,241.0,1
1695115996,1593623.6666666667,30990163573.666668,36117439883.333336,242.0,1
1695115999,1694757.3333333333,32411308090.666668,35394898561.666664,241.0,1
1695116002,1705158.6666666667,31502804651.333332,36336940309.666664,240.0,1
1695116005,1604184.6666666665,31693084643.333332,35154459482.33333,240.0,1
1695116008,1652105.0000000002,32519453566.666664,36051413614.333336,242.0,1
1695116011,1202399.3333333333,16486218873.666668,17041647038.0,177.0,1
1695116014,575230.0,453777760.3333334,254206689.66666666,171.0,1
1695116017,419730.0,284861050.6666667,192908137.0,171.0,1
1695116020,246731.66666666666,303844711.6666666,135855301.0,171.0,1
