,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
216,1695116311,0.0,0.0,0.0,0.0,120.0,1.0,all containers
217,1695116314,16625.0,0.0,6643.0,9989.0,122.0,1.0,all containers
218,1695116317,0.0,0.0,0.0,0.0,120.0,1.0,all containers
219,1695116320,0.0,0.0,0.0,0.0,120.0,1.0,all containers
220,1695116323,0.0,0.0,0.0,0.0,123.0,1.0,all containers
221,1695116326,0.0,0.0,0.0,0.0,119.0,1.0,all containers
222,1695116329,243432.0,344064.0,6111.0,237314.0,0.0,1.0,all containers
223,1695116332,42626.66666666667,327680.0,5453.333333333334,37180.0,0.0,1.0,all containers
224,1695116335,0.0,0.0,0.0,0.0,0.0,1.0,all containers
225,1695116338,0.0,0.0,0.0,0.0,0.0,1.0,all containers
226,1695116341,52013.33333333333,928426.6666666667,15033.333333333332,36980.0,0.0,1.0,all containers
227,1695116344,356353.3333333334,928426.6666666667,101926.66666666666,254420.0,71.0,1.0,all containers
228,1695116347,0.0,0.0,0.0,0.0,71.0,1.0,all containers
229,1695116350,0.0,0.0,0.0,0.0,73.0,1.0,all containers
230,1695116353,0.0,0.0,0.0,0.0,72.0,1.0,all containers
231,1695116356,0.0,0.0,0.0,0.0,73.0,1.0,all containers
232,1695116359,0.0,0.0,0.0,0.0,73.0,1.0,all containers
233,1695116362,0.0,0.0,0.0,0.0,73.0,1.0,all containers
234,1695116365,0.0,0.0,0.0,0.0,75.0,1.0,all containers
235,1695116368,0.0,0.0,0.0,0.0,73.0,1.0,all containers
236,1695116371,1745.3333333333333,0.0,696.6666666666667,1048.6666666666665,72.0,1.0,all containers
237,1695116374,244970.0,0.0,21428.0,223549.33333333334,2.0,1.0,all containers
238,1695116377,82368.0,0.0,17310.0,65052.0,1.0,1.0,all containers
239,1695116380,0.0,0.0,0.0,0.0,0.0,1.0,all containers
240,1695116383,0.0,0.0,0.0,0.0,0.0,1.0,all containers
241,1695116386,244170.0,368640.0,24690.0,219480.0,0.0,1.0,all containers
242,1695116389,118547.33333333333,285354.6666666666,74974.0,43579.666666666664,102.0,1.0,all containers
243,1695116392,0.0,0.0,0.0,0.0,104.0,1.0,all containers
244,1695116395,0.0,0.0,0.0,0.0,104.0,1.0,all containers
245,1695116398,0.0,0.0,0.0,0.0,104.0,1.0,all containers
246,1695116401,0.0,0.0,0.0,0.0,105.0,1.0,all containers
247,1695116404,0.0,0.0,0.0,0.0,103.0,1.0,all containers
248,1695116407,0.0,0.0,0.0,0.0,105.0,1.0,all containers
249,1695116410,0.0,0.0,0.0,0.0,106.0,1.0,all containers
250,1695116413,0.0,0.0,0.0,0.0,105.0,1.0,all containers
251,1695116416,0.0,0.0,0.0,0.0,106.0,1.0,all containers
252,1695116419,117253.33333333334,77824.0,17940.0,99306.66666666666,0.0,1.0,all containers
253,1695116422,175553.66666666666,77824.0,42648.666666666664,132905.0,2.0,1.0,all containers
254,1695116425,0.0,0.0,0.0,0.0,3.0,1.0,all containers
255,1695116428,0.0,0.0,0.0,0.0,0.0,1.0,all containers
256,1695116431,0.0,0.0,0.0,0.0,0.0,1.0,all containers
257,1695116434,409646.3333333333,700416.0,86817.33333333333,322829.0,161.0,1.0,all containers
258,1695116437,0.0,0.0,0.0,0.0,168.0,1.0,all containers
259,1695116440,0.0,0.0,0.0,0.0,168.0,1.0,all containers
260,1695116443,0.0,0.0,0.0,0.0,168.0,1.0,all containers
261,1695116446,0.0,0.0,0.0,0.0,170.0,1.0,all containers
262,1695116449,0.0,0.0,0.0,0.0,168.0,1.0,all containers
263,1695116452,0.0,0.0,0.0,0.0,169.0,1.0,all containers
264,1695116455,0.0,0.0,0.0,0.0,172.0,1.0,all containers
265,1695116458,0.0,0.0,0.0,0.0,172.0,1.0,all containers
266,1695116461,0.0,0.0,0.0,0.0,173.0,1.0,all containers
267,1695116464,75943.0,0.0,0.0,75943.0,59.0,1.0,all containers
268,1695116467,186106.6666666667,0.0,57000.0,129106.66666666666,3.0,1.0,all containers
269,1695116470,0.0,0.0,0.0,0.0,0.0,1.0,all containers
270,1695116473,0.0,0.0,0.0,0.0,0.0,1.0,all containers
271,1695116476,0.0,0.0,0.0,0.0,0.0,1.0,all containers
272,1695116479,446746.6666666666,709973.3333333333,57046.66666666667,389700.0,172.0,1.0,all containers
273,1695116482,0.0,0.0,0.0,0.0,184.0,1.0,all containers
274,1695116485,0.0,0.0,0.0,0.0,186.0,1.0,all containers
275,1695116488,0.0,0.0,0.0,0.0,186.0,1.0,all containers
276,1695116491,0.0,0.0,0.0,0.0,186.0,1.0,all containers
277,1695116494,13698.666666666666,0.0,5463.333333333334,8235.333333333332,188.0,1.0,all containers
278,1695116497,0.0,0.0,0.0,0.0,188.0,1.0,all containers
279,1695116500,0.0,0.0,0.0,0.0,188.0,1.0,all containers
280,1695116503,0.0,0.0,0.0,0.0,189.0,1.0,all containers
281,1695116506,0.0,0.0,0.0,0.0,190.0,1.0,all containers
282,1695116509,78188.0,0.0,24918.666666666668,53269.333333333336,98.0,1.0,all containers
283,1695116512,220311.0,0.0,51632.0,168686.0,2.0,1.0,all containers
284,1695116515,0.0,0.0,0.0,0.0,0.0,1.0,all containers
285,1695116518,0.0,0.0,0.0,0.0,3.0,1.0,all containers
286,1695116521,0.0,0.0,0.0,0.0,0.0,1.0,all containers
287,1695116524,420910.0,745472.0,89243.0,331660.0,130.0,1.0,all containers
288,1695116527,0.0,0.0,0.0,0.0,193.0,1.0,all containers
289,1695116530,0.0,0.0,0.0,0.0,194.0,1.0,all containers
290,1695116533,0.0,0.0,0.0,0.0,194.0,1.0,all containers
291,1695116536,0.0,0.0,0.0,0.0,196.0,1.0,all containers
292,1695116539,0.0,0.0,0.0,0.0,196.0,1.0,all containers
293,1695116542,0.0,0.0,0.0,0.0,197.0,1.0,all containers
294,1695116545,0.0,0.0,0.0,0.0,199.0,1.0,all containers
295,1695116548,0.0,0.0,0.0,0.0,199.0,1.0,all containers
296,1695116551,899.3333333333334,0.0,361.0,538.3333333333333,198.0,1.0,all containers
297,1695116554,84252.33333333333,544768.0,28189.666666666668,56062.666666666664,192.0,1.0,all containers
298,1695116557,184560.0,516096.0,26874.0,157692.0,3.0,1.0,all containers
299,1695116560,0.0,0.0,0.0,0.0,0.0,1.0,all containers
300,1695116563,0.0,0.0,0.0,0.0,0.0,1.0,all containers
301,1695116566,0.0,0.0,0.0,0.0,0.0,1.0,all containers
302,1695116569,351270.0,638976.0,67428.0,283842.0,99.0,1.0,all containers
