,timestamp,bpf_cpu_time_us,platform_power,node_type,id
1642,1695120589,22746.666666666664,210.0,1.0,all containers
1643,1695120592,22733.666666666668,213.0,1.0,all containers
1644,1695120595,20332.0,208.0,1.0,all containers
1645,1695120598,509.0,2.0,1.0,all containers
1646,1695120601,547.0,0.0,1.0,all containers
1647,1695120604,510.66666666666663,0.0,1.0,all containers
1648,1695120607,523.3333333333334,0.0,1.0,all containers
1649,1695120610,550.3333333333333,0.0,1.0,all containers
1650,1695120613,21262.666666666668,203.0,1.0,all containers
1651,1695120616,27768.0,204.0,1.0,all containers
1652,1695120619,27804.333333333332,204.0,1.0,all containers
1653,1695120622,27787.666666666668,201.0,1.0,all containers
1654,1695120625,27867.0,203.0,1.0,all containers
1655,1695120628,27769.666666666664,201.0,1.0,all containers
1656,1695120631,27980.0,208.0,1.0,all containers
1657,1695120634,27906.333333333332,206.0,1.0,all containers
1658,1695120637,27701.333333333336,206.0,1.0,all containers
1659,1695120640,27760.666666666668,206.0,1.0,all containers
1660,1695120643,9624.333333333334,0.0,1.0,all containers
1661,1695120646,710.0,0.0,1.0,all containers
1662,1695120649,517.0,0.0,1.0,all containers
1663,1695120652,531.6666666666666,0.0,1.0,all containers
1664,1695120655,504.0,0.0,1.0,all containers
1665,1695120658,543.6666666666667,205.0,1.0,all containers
1666,1695120661,27898.666666666668,203.0,1.0,all containers
1667,1695120664,27938.0,206.0,1.0,all containers
1668,1695120667,27891.666666666664,203.0,1.0,all containers
1669,1695120670,27872.0,203.0,1.0,all containers
1670,1695120673,27907.0,203.0,1.0,all containers
1671,1695120676,27832.333333333332,207.0,1.0,all containers
1672,1695120679,27464.666666666668,210.0,1.0,all containers
1673,1695120682,27800.333333333332,208.0,1.0,all containers
1674,1695120685,28038.666666666668,205.0,1.0,all containers
1675,1695120688,19518.666666666668,151.0,1.0,all containers
1676,1695120691,517.6666666666666,6.0,1.0,all containers
1677,1695120694,529.6666666666666,1.0,1.0,all containers
1678,1695120697,507.6666666666667,0.0,1.0,all containers
1679,1695120700,535.3333333333333,0.0,1.0,all containers
1680,1695120703,582.6666666666667,13.0,1.0,all containers
1681,1695120706,4113.666666666667,42.0,1.0,all containers
1682,1695120709,4325.0,44.0,1.0,all containers
1683,1695120712,4301.0,44.0,1.0,all containers
1684,1695120715,4281.0,43.0,1.0,all containers
1685,1695120718,4269.666666666666,44.0,1.0,all containers
1686,1695120721,4333.0,45.0,1.0,all containers
1687,1695120724,4275.333333333334,46.0,1.0,all containers
1688,1695120727,4198.333333333333,50.0,1.0,all containers
1689,1695120730,4303.333333333333,50.0,1.0,all containers
1690,1695120733,4238.333333333333,49.0,1.0,all containers
1691,1695120736,4152.666666666667,49.0,1.0,all containers
1692,1695120739,4320.0,51.0,1.0,all containers
1693,1695120742,4327.666666666667,43.0,1.0,all containers
1694,1695120745,2899.6666666666665,35.0,1.0,all containers
1695,1695120748,527.0,0.0,1.0,all containers
1696,1695120751,557.3333333333334,0.0,1.0,all containers
1697,1695120754,499.6666666666667,0.0,1.0,all containers
1698,1695120757,551.0,0.0,1.0,all containers
1699,1695120760,576.3333333333333,13.0,1.0,all containers
1700,1695120763,7995.333333333333,54.0,1.0,all containers
1701,1695120766,8001.0,56.0,1.0,all containers
1702,1695120769,7996.333333333333,64.0,1.0,all containers
1703,1695120772,7977.333333333333,73.0,1.0,all containers
1704,1695120775,7949.000000000001,71.0,1.0,all containers
1705,1695120778,7942.333333333333,71.0,1.0,all containers
1706,1695120781,7982.0,73.0,1.0,all containers
1707,1695120784,7948.333333333333,79.0,1.0,all containers
1708,1695120787,7980.666666666666,79.0,1.0,all containers
1709,1695120790,7892.666666666666,71.0,1.0,all containers
1710,1695120793,7753.666666666667,82.0,1.0,all containers
1711,1695120796,8026.666666666667,48.0,1.0,all containers
1712,1695120799,4382.333333333333,0.0,1.0,all containers
1713,1695120802,553.0,2.0,1.0,all containers
1714,1695120805,543.0,0.0,1.0,all containers
1715,1695120808,542.3333333333334,0.0,1.0,all containers
