,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
501,652,LogarithmicRegressionTrainer_262,curvefit,LogarithmicRegressionTrainer_262.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.89,29.73,2.89,29.73,LogarithmicRegressionTrainer,262,BPFOnly
502,2264,LogisticRegressionTrainer_259,curvefit,LogisticRegressionTrainer_259.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.89,16.74,2.89,16.74,LogisticRegressionTrainer,259,BPFOnly
503,1394,SGDRegressorTrainer_11,scikit,SGDRegressorTrainer_11.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.9,13.39,2.9,13.39,SGDRegressorTrainer,11,BPFOnly
504,1565,LinearRegressionTrainer_40,scikit,LinearRegressionTrainer_40.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.9,1.73,2.9,1.73,LinearRegressionTrainer,40,BPFOnly
505,1885,SVRRegressorTrainer_13,scikit,SVRRegressorTrainer_13.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.9,18.77,2.9,18.77,SVRRegressorTrainer,13,BPFOnly
506,2790,SGDRegressorTrainer_232,scikit,SGDRegressorTrainer_232.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.9,3.09,2.9,3.09,SGDRegressorTrainer,232,BPFOnly
507,122,SVRRegressorTrainer_90,scikit,SVRRegressorTrainer_90.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.91,10.09,2.91,10.09,SVRRegressorTrainer,90,BPFOnly
508,334,XgboostFitTrainer_92,xgboost,XgboostFitTrainer_92.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.93,4.71,2.93,4.71,XgboostFitTrainer,92,BPFOnly
509,544,LogarithmicRegressionTrainer_102,curvefit,LogarithmicRegressionTrainer_102.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.93,15.94,2.93,15.94,LogarithmicRegressionTrainer,102,BPFOnly
510,656,LinearRegressionTrainer_22,scikit,LinearRegressionTrainer_22.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.93,5.57,2.93,5.57,LinearRegressionTrainer,22,BPFOnly
511,674,LogarithmicRegressionTrainer_289,curvefit,LogarithmicRegressionTrainer_289.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.93,4.35,2.93,4.35,LogarithmicRegressionTrainer,289,BPFOnly
512,2888,XgboostFitTrainer_61,xgboost,XgboostFitTrainer_61.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.93,11.51,2.93,11.51,XgboostFitTrainer,61,BPFOnly
513,1217,SGDRegressorTrainer_264,scikit,SGDRegressorTrainer_264.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.94,22.32,2.94,22.32,SGDRegressorTrainer,264,BPFOnly
514,433,PolynomialRegressionTrainer_273,scikit,PolynomialRegressionTrainer_273.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.96,11.6,2.96,11.6,PolynomialRegressionTrainer,273,BPFOnly
515,1396,XgboostFitTrainer_8,xgboost,XgboostFitTrainer_8.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.96,6.62,2.96,6.62,XgboostFitTrainer,8,BPFOnly
516,2882,ExponentialRegressionTrainer_17,curvefit,ExponentialRegressionTrainer_17.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.96,5.31,2.96,5.31,ExponentialRegressionTrainer,17,BPFOnly
517,1671,ExponentialRegressionTrainer_98,curvefit,ExponentialRegressionTrainer_98.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.97,19.74,2.97,19.74,ExponentialRegressionTrainer,98,BPFOnly
518,242,LinearRegressionTrainer_263,scikit,LinearRegressionTrainer_263.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.98,30.01,2.98,30.01,LinearRegressionTrainer,263,BPFOnly
519,928,KNeighborsRegressorTrainer_58,scikit,KNeighborsRegressorTrainer_58.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.98,62.38,2.98,62.38,KNeighborsRegressorTrainer,58,BPFOnly
520,205,GradientBoostingRegressorTrainer_189,scikit,GradientBoostingRegressorTrainer_189.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.0,14.26,3.0,14.26,GradientBoostingRegressorTrainer,189,BPFOnly
521,293,XgboostFitTrainer_87,xgboost,XgboostFitTrainer_87.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.0,2.4,3.0,2.4,XgboostFitTrainer,87,BPFOnly
522,1228,GradientBoostingRegressorTrainer_21,scikit,GradientBoostingRegressorTrainer_21.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.0,6.67,3.0,6.67,GradientBoostingRegressorTrainer,21,BPFOnly
523,806,ExponentialRegressionTrainer_195,curvefit,ExponentialRegressionTrainer_195.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.01,2.76,3.01,2.76,ExponentialRegressionTrainer,195,BPFOnly
524,1004,SGDRegressorTrainer_263,scikit,SGDRegressorTrainer_263.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.01,16.3,3.01,16.3,SGDRegressorTrainer,263,BPFOnly
525,2431,ExponentialRegressionTrainer_0,curvefit,ExponentialRegressionTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.01,10.53,3.01,10.53,ExponentialRegressionTrainer,0,BPFOnly
526,2448,PolynomialRegressionTrainer_122,scikit,PolynomialRegressionTrainer_122.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,3.01,2.86,3.01,2.86,PolynomialRegressionTrainer,122,BPFOnly
527,2796,PolynomialRegressionTrainer_246,scikit,PolynomialRegressionTrainer_246.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,3.01,1.23,3.01,1.23,PolynomialRegressionTrainer,246,BPFOnly
528,2421,LogisticRegressionTrainer_59,curvefit,LogisticRegressionTrainer_59.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.02,13.78,3.02,13.78,LogisticRegressionTrainer,59,BPFOnly
529,2351,LinearRegressionTrainer_49,scikit,LinearRegressionTrainer_49.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.03,10.1,3.03,10.1,LinearRegressionTrainer,49,BPFOnly
530,44,SGDRegressorTrainer_0,scikit,SGDRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.04,17.08,3.04,17.08,SGDRegressorTrainer,0,BPFOnly
531,815,PolynomialRegressionTrainer_259,scikit,PolynomialRegressionTrainer_259.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,3.04,15.36,3.04,15.36,PolynomialRegressionTrainer,259,BPFOnly
532,2235,PolynomialRegressionTrainer_187,scikit,PolynomialRegressionTrainer_187.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,3.04,4.28,3.04,4.28,PolynomialRegressionTrainer,187,BPFOnly
533,264,LinearRegressionTrainer_303,scikit,LinearRegressionTrainer_303.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.05,3.91,3.05,3.91,LinearRegressionTrainer,303,BPFOnly
534,1033,LinearRegressionTrainer_228,scikit,LinearRegressionTrainer_228.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.05,5.31,3.05,5.31,LinearRegressionTrainer,228,BPFOnly
535,1189,XgboostFitTrainer_273,xgboost,XgboostFitTrainer_273.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.05,16.69,3.05,16.69,XgboostFitTrainer,273,BPFOnly
536,2932,LogarithmicRegressionTrainer_64,curvefit,LogarithmicRegressionTrainer_64.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.05,0.08,3.05,0.08,LogarithmicRegressionTrainer,64,BPFOnly
537,3119,ExponentialRegressionTrainer_4,curvefit,ExponentialRegressionTrainer_4.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.05,16.52,3.05,16.52,ExponentialRegressionTrainer,4,BPFOnly
538,768,ExponentialRegressionTrainer_208,curvefit,ExponentialRegressionTrainer_208.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.06,10.93,3.06,10.93,ExponentialRegressionTrainer,208,BPFOnly
539,2372,SGDRegressorTrainer_33,scikit,SGDRegressorTrainer_33.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.06,17.31,3.06,17.31,SGDRegressorTrainer,33,BPFOnly
540,2109,LogisticRegressionTrainer_267,curvefit,LogisticRegressionTrainer_267.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.07,18.93,3.07,18.93,LogisticRegressionTrainer,267,BPFOnly
541,2853,KNeighborsRegressorTrainer_205,scikit,KNeighborsRegressorTrainer_205.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,3.07,4.58,3.07,4.58,KNeighborsRegressorTrainer,205,BPFOnly
